Rank,Name,Postion,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA,Err RAA,DP RAA,Bt RAA, Total RAA,/144,Team
1,박민우,2B,37,35,303.2,8,0,73,81,2,87,88.5,98.7,4.56,6.98,0.62,-0.68,,6.93,26.95,NC
2,김주원,SS,39,34,306.1,7,0,48,75,3,54,81.5,97.6,3.61,6.94,-0.41,-0.06,,6.48,23.32,NC
3,오영수,1B,8,5,41.0,0,0,45,3,0,14,100.0,100.0,10.54,1.39,0.10,,,1.49,16.48,NC
4,도태훈,1B,12,3,40.1,2,0,38,3,0,22,90.9,100.0,9.15,1.23,0.10,,,1.33,8.33,NC
5,도태훈,2B,4,0,8.0,0,0,1,4,0,4,100.0,100.0,5.63,0.79,0.03,,,0.82,5.16,NC
6,도태훈,3B,8,0,22.0,0,0,1,9,1,2,50.0,90.9,4.09,1.30,-0.42,-0.13,,0.75,4.70,NC
7,김수윤,1B,3,0,12.0,1,0,9,1,0,3,66.7,100.0,7.50,0.54,0.03,,,0.57,20.44,NC
8,김한별,3B,2,0,1.1,0,0,0,0,0,0,,,0.00,0.00,0.00,,,0.00,0.04,NC
9,김세훈,SS,1,0,0.1,1,0,0,0,0,0,,,0.00,0.00,0.00,,,0.00,-0.47,NC
10,김한별,2B,6,0,9.0,0,0,3,0,0,0,,100.0,3.00,-0.13,0.03,,,-0.09,-0.75,NC
11,데이비슨,1B,32,32,266.1,5,0,221,22,5,125,92.0,98.0,8.21,0.52,-0.84,,0.11,-0.21,-0.94,NC
12,서호철,3B,40,40,336.1,8,0,27,63,4,44,72.7,95.7,2.41,0.66,-0.80,0.13,-0.26,-0.28,-0.99,NC
13,최정원,2B,7,5,39.0,0,0,12,10,1,0,,95.7,5.08,-2.70,-0.35,0.68,,-2.37,-15.54,NC
14,김한별,SS,11,6,53.0,0,0,7,14,0,9,100.0,100.0,3.57,-3.00,0.19,0.06,,-2.75,-22.04,NC
