Rank,Name,Position,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,Team
1,원태인,P,2.04,8,8,0,0,0,0,5,1,0,0,46.1,8,9,9.00,184,32,4,1,3,13,2,0,38,2,0,1,1.55,1.75,1.75,1.68,3.94,0.97,Samsung
2,레예스,P,1.22,9,9,0,0,0,0,5,2,0,0,49.0,21,21,19.95,208,54,5,1,4,7,3,0,45,1,0,1,3.86,3.86,3.66,3.58,3.52,1.24,Samsung
3,이승현,P,0.89,4,4,0,0,0,0,2,1,0,0,21.0,4,5,4.30,84,8,4,0,0,13,0,0,20,2,0,2,1.71,2.14,1.84,1.86,3.75,1.00,Samsung
4,오승환,P,0.77,18,0,18,17,0,0,1,2,11,0,20.0,4,4,4.50,81,16,5,0,1,5,1,1,16,0,0,2,1.80,1.80,2.03,1.95,3.58,1.05,Samsung
5,김재윤,P,0.66,19,0,19,1,0,0,2,2,0,10,23.0,8,8,8.00,90,14,3,0,3,11,0,2,16,0,0,1,3.13,3.13,3.13,3.03,5.24,1.09,Samsung
6,임창민,P,0.60,19,0,19,1,0,0,0,0,0,11,18.0,3,5,5.00,78,17,2,0,2,9,0,0,20,1,0,2,1.50,2.50,2.50,2.39,4.31,1.44,Samsung
7,코너,P,0.57,9,9,0,0,0,0,2,3,0,0,45.1,24,27,26.65,206,48,6,2,8,16,8,0,45,1,0,4,4.76,5.36,5.29,4.96,5.47,1.41,Samsung
8,이호성,P,0.47,6,6,0,0,0,0,1,2,0,0,22.1,10,11,9.80,101,26,6,1,2,9,1,0,17,0,0,1,4.03,4.43,3.95,3.98,4.77,1.57,Samsung
9,김태훈,P,0.30,16,0,16,4,0,0,1,0,0,2,18.0,5,5,7.40,74,14,2,1,0,4,3,0,11,0,0,2,2.50,2.50,3.70,3.61,3.89,1.00,Samsung
10,최하늘,P,0.26,18,0,18,3,0,0,1,1,0,1,20.1,9,9,10.05,82,10,1,0,1,9,3,0,12,3,0,2,3.98,3.98,4.45,4.37,5.15,0.93,Samsung
11,이승현,P,0.13,15,0,15,1,0,0,2,1,0,1,18.0,9,9,9.50,72,19,5,1,0,5,0,0,14,0,0,0,4.50,4.50,4.75,4.49,3.13,1.33,Samsung
12,최성훈,P,0.10,17,0,17,0,0,0,0,0,0,1,9.2,5,5,4.65,43,7,0,0,0,7,1,1,9,0,0,1,4.66,4.66,4.33,4.28,4.13,1.45,Samsung
13,백정현,P,0.06,2,2,0,0,0,0,0,0,0,0,8.1,5,5,5.00,38,9,1,1,0,7,0,0,3,0,0,0,5.40,5.40,5.40,5.35,5.92,1.92,Samsung
14,홍원표,P,0.04,2,0,2,2,0,0,0,0,0,0,3.0,1,1,1.00,12,1,0,0,1,3,0,0,3,0,0,0,3.00,3.00,3.00,2.79,8.78,1.33,Samsung
15,양현,P,0.01,8,0,8,1,0,0,0,0,0,0,6.2,5,5,4.85,34,12,2,0,1,3,1,0,6,0,0,0,6.75,6.75,6.55,6.16,5.61,2.25,Samsung
16,장필준,P,-0.01,1,0,1,0,0,0,0,0,0,0,0.1,5,5,3.95,6,5,1,0,0,0,0,0,0,0,0,1,99.99,99.99,106.65,98.34,4.21,15.00,Samsung
17,홍정우,P,-0.03,1,0,1,1,0,0,0,0,0,0,1.0,5,5,5.00,9,5,1,0,1,1,0,0,1,0,0,0,45.00,45.00,45.00,41.90,16.71,6.00,Samsung
18,이상민,P,-0.07,4,0,4,0,0,0,0,0,0,0,5.0,4,4,4.00,24,7,1,0,0,1,2,0,2,0,0,0,7.20,7.20,7.20,7.76,5.07,1.60,Samsung
19,김대우,P,-0.07,9,0,9,6,0,0,0,0,0,0,12.0,11,11,10.85,58,16,4,0,2,4,1,1,7,1,0,1,8.25,8.25,8.14,7.92,5.77,1.67,Samsung
20,육선엽,P,-0.08,3,0,3,2,0,0,0,0,0,0,4.2,4,5,6.55,28,9,2,0,2,5,0,0,3,1,0,0,7.71,9.64,12.63,12.53,11.03,3.00,Samsung
21,이재익,P,-0.10,3,0,3,0,0,0,0,0,0,0,2.2,8,8,8.00,20,13,3,0,1,1,0,0,0,0,0,0,27.00,27.00,27.00,29.12,9.84,5.25,Samsung
22,이승민,P,-0.38,10,3,7,2,0,0,1,2,0,0,18.0,21,21,20.00,91,25,3,1,6,13,0,0,12,2,0,0,10.50,10.50,10.00,9.95,8.75,2.11,Samsung
