Team,Total RAA,G,GS,IP,WP,PB,Pass9,SB,CS,CS%,SBA,SBA%,SB 2,SB 3,SB H,SB Double,CS 2,CS 3,CS H,CS Double,Range RAA,Err RAA,CS RAA,Blk RAA,Frm RAA,/144
리그 전체,0.85,602,438,3859.2,190,28,0.508,356,119,25.1,5487,8.7,321,34,1,15,102,14,3,6,-2.20,0.82,0.40,1.71,,0.20
KT,2.91,53,37,318.1,12,0,0.339,35,8,18.6,469,9.2,34,1,0,1,8,0,0,0,-0.64,1.37,0.40,1.71,,7.91
KIA,1.71,59,40,359.2,18,5,0.576,35,10,22.2,547,8.2,31,4,0,0,8,1,1,0,1.38,0.62,0.00,0.00,,4.17
롯데,1.33,63,39,342.1,26,0,0.684,32,17,34.7,525,9.3,28,4,0,2,14,3,0,3,0.29,0.55,0.00,0.00,,3.03
두산,0.30,69,56,489.2,23,2,0.459,24,3,11.1,591,4.6,20,4,0,1,3,0,0,0,-0.02,0.22,0.00,0.00,,0.63
삼성,-0.07,70,45,407.2,21,4,0.552,39,17,30.4,548,10.2,35,3,1,2,14,2,1,0,-0.90,0.70,0.00,0.00,,-0.15
SSG,-0.34,53,42,369.0,13,4,0.415,45,16,26.2,538,11.3,41,4,0,3,15,0,1,0,-0.09,-0.31,0.00,0.00,,-0.91
한화,-0.55,55,40,350.0,17,2,0.489,40,12,23.1,571,9.1,37,3,0,2,11,1,0,1,-0.19,0.09,0.00,0.00,,-1.45
NC,-0.72,51,40,361.2,13,2,0.373,28,14,33.3,531,7.9,24,4,0,1,13,1,0,1,0.29,-1.87,0.00,0.00,,-2.04
LG,-1.16,74,59,507.0,18,6,0.426,50,14,21.9,609,10.5,46,4,0,2,9,5,0,1,-1.36,0.34,0.00,0.00,,-2.26
키움,-2.55,55,40,354.1,29,3,0.813,28,8,22.2,558,6.5,25,3,0,1,7,1,0,0,-0.95,-0.89,0.00,0.00,,-6.69
