Team,WAR,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,BW,BL,BQ,BQS,BQS%,IP/GS,P/GS,AGS,WAA
리그 전체,43.28,2007,410,2065.2,4.67,201,201,141,34.4,30,7.3,129,18,36,2143,9.3,25,37,838,318,37.9,5.04,86.63,48.25,8.24
KIA,6.07,209,40,208.1,3.37,25,14,15,37.5,4,10.0,15,1,5,230,9.9,3,5,110,40,36.4,5.21,86.25,52.05,2.54
키움,5.43,182,40,205.2,4.42,16,24,15,37.5,3,7.5,13,3,3,191,8.4,0,3,60,24,40.0,5.14,82.25,48.70,1.94
삼성,4.80,201,41,203.2,3.93,23,17,12,29.3,1,2.4,20,0,7,206,9.1,4,4,78,24,30.8,4.97,90.22,50.78,1.35
롯데,4.77,194,39,208.2,5.13,13,25,17,43.6,4,10.3,5,4,0,179,7.7,2,3,87,39,44.8,5.35,92.03,46.33,1.23
NC,4.69,186,40,220.0,3.44,23,17,18,45.0,6,15.0,9,1,2,224,9.2,2,2,81,31,38.3,5.50,92.45,52.50,0.95
LG,4.56,210,43,221.2,4.67,23,18,17,39.5,3,7.0,10,3,1,230,9.3,4,9,87,31,35.6,5.16,90.88,47.72,0.80
두산,4.30,223,43,206.1,4.36,24,19,15,34.9,2,4.7,15,2,5,243,10.6,1,3,96,35,36.5,4.80,81.98,49.05,0.80
한화,3.62,203,40,190.1,5.15,16,24,10,25.0,3,7.5,16,0,4,194,9.2,3,2,75,25,33.3,4.76,83.88,46.20,0.39
KT,3.47,194,42,208.0,5.84,17,24,14,33.3,4,9.5,11,3,4,229,9.9,3,2,74,39,52.7,4.95,84.45,45.81,-0.06
SSG,1.57,205,42,193.0,6.62,21,19,8,19.0,0,0.0,15,1,5,217,10.1,3,4,90,30,33.3,4.60,82.33,43.60,-1.70
