Unnamed: 0,RANK,NAME,position,Total RAA,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA,Err RAA,DP RAA,Bt RAA,/144,Team
0,1,이도윤,SS,4.57,17,10,97.0,0,0,19,28,1,13,92.3,97.9,4.36,3.21,-0.15,1.52,0.0,19.36,hanhwa
1,2,노시환,3B,2.27,40,40,348.0,6,0,33,69,4,36,72.2,96.2,2.64,2.46,0.24,0.0,-0.43,8.17,hanhwa
2,3,채은성,1B,0.64,15,15,125.2,2,0,127,7,2,62,93.5,98.5,9.6,0.33,0.31,0.0,0.0,3.2,hanhwa
3,4,김태연,1B,0.16,12,6,66.1,2,0,52,5,1,24,87.5,98.3,7.73,0.51,-0.34,0.0,-0.01,0.86,hanhwa
4,5,문현빈,SS,-0.05,1,0,2.0,0,0,2,0,0,1,100.0,100.0,9.0,-0.06,0.01,0.0,0.0,-0.24,hanhwa
5,6,황영묵,2B,-0.11,3,0,5.1,0,0,2,1,0,0,0.0,100.0,5.06,-0.13,0.02,0.0,0.0,-0.64,hanhwa
6,7,정은원,2B,-0.19,4,4,31.0,0,0,6,10,0,0,0.0,100.0,4.65,-0.61,0.11,0.3,0.0,-1.27,hanhwa
7,8,하주석,3B,-0.22,1,0,1.0,0,0,0,1,0,1,100.0,100.0,9.0,-0.22,0.0,0.0,0.0,-2.88,hanhwa
8,9,이도윤,2B,-0.29,14,4,55.0,1,0,14,18,2,9,66.7,94.1,5.24,1.03,-0.79,-0.53,0.0,-1.24,hanhwa
9,10,이도윤,3B,-0.42,1,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.43,0.0,0.0,0.0,-1.8,hanhwa
10,11,하주석,SS,-1.12,10,10,81.0,3,0,15,25,0,28,89.3,100.0,4.44,-1.49,0.29,0.08,0.0,-14.69,hanhwa
11,12,김인환,1B,-1.4,1,1,6.0,0,0,3,1,1,0,0.0,80.0,6.0,-0.92,-0.48,0.0,0.0,-67.39,hanhwa
12,13,황영묵,SS,-1.61,23,20,170.0,3,0,28,50,1,15,73.3,98.7,4.13,-0.12,0.11,-1.6,0.0,-9.29,hanhwa
13,14,안치홍,1B,-2.14,18,18,152.0,2,0,124,13,3,41,87.8,97.9,8.11,-1.51,-0.62,0.0,-0.01,-7.71,hanhwa
14,15,김태연,2B,-3.02,6,4,30.2,0,0,10,9,2,1,-100.0,90.5,5.58,-2.4,-0.39,-0.23,0.0,-16.1,hanhwa
15,16,문현빈,2B,-5.54,29,28,228.0,5,0,39,71,1,54,88.9,99.1,4.34,-6.84,0.84,0.46,0.0,-24.95,hanhwa
