Unnamed: 0,Rank,Name,Team,Position,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
0,1,산체스,hanhwa,P,1.86,8,8,0,0,0,0,2,0,0,0,43.2,13,15,14.0,188,42,6,0,2,13,8,1,52,3,1,1,2.68,3.09,2.89,2.83,3.27,1.26
1,2,주현상,hanhwa,P,1.13,18,0,18,11,0,0,3,0,3,2,21.0,3,3,3.0,76,15,1,0,2,1,0,0,18,0,0,0,1.29,1.29,1.29,1.33,3.35,0.76
2,3,황준서,hanhwa,P,0.76,9,5,4,0,0,0,1,3,0,0,28.0,13,13,13.0,125,27,5,0,3,14,4,0,27,1,0,2,4.18,4.18,4.18,4.07,5.07,1.46
3,4,김민우,hanhwa,P,0.57,3,3,0,0,0,0,1,0,0,0,12.1,3,3,3.0,49,7,0,0,2,6,0,0,13,1,0,0,2.19,2.19,2.19,2.31,5.02,1.05
4,5,페냐,hanhwa,P,0.48,8,8,0,0,0,0,3,4,0,0,35.2,22,24,24.0,161,37,5,0,6,18,0,0,27,1,0,1,5.55,6.06,6.06,5.95,5.89,1.54
5,6,이민우,hanhwa,P,0.45,20,0,20,4,0,0,0,0,1,3,17.1,5,5,7.55,69,15,0,0,2,6,0,0,17,0,0,1,2.6,2.6,3.92,3.93,4.21,1.21
6,7,조동욱,hanhwa,P,0.34,1,1,0,0,0,0,1,0,0,0,6.0,0,1,1.0,21,3,0,0,0,1,0,0,0,0,0,0,0.0,1.5,1.5,1.46,4.73,0.67
7,8,류현진,hanhwa,P,0.34,8,8,0,0,0,0,2,4,0,0,43.0,27,33,31.95,190,49,5,1,1,13,0,0,39,4,0,1,5.65,6.91,6.69,6.66,3.16,1.44
8,9,장시환,hanhwa,P,0.31,13,0,13,1,0,0,2,2,0,1,12.1,8,8,5.1,55,10,2,0,0,10,0,0,9,0,0,0,5.84,5.84,3.72,3.63,4.9,1.62
9,10,장민재,hanhwa,P,0.21,8,0,8,2,0,0,0,1,0,0,10.0,5,5,4.65,50,17,1,0,1,3,0,0,7,0,0,0,4.5,4.5,4.18,3.99,4.58,2.0
12,11,김규연,hanhwa,P,0.16,16,0,16,5,0,0,0,0,0,0,15.2,8,9,10.75,70,20,3,0,2,4,2,1,12,1,0,0,4.6,5.17,6.18,5.83,5.01,1.53
13,12,한승혁,hanhwa,P,0.1,16,0,16,0,0,0,0,4,0,3,14.0,11,12,9.75,67,14,3,0,0,11,1,0,13,1,0,1,7.07,7.71,6.27,6.09,4.55,1.79
14,13,김서현,hanhwa,P,0.08,5,0,5,0,0,0,0,0,0,0,6.0,1,2,3.55,30,4,0,0,0,6,2,0,3,1,0,0,1.5,3.0,5.32,5.44,7.1,1.67
15,14,김기중,hanhwa,P,0.02,4,0,4,2,0,0,0,0,0,0,3.0,2,2,2.0,16,7,0,0,0,1,0,0,2,0,0,0,6.0,6.0,6.0,6.09,3.58,2.67
16,15,김범수,hanhwa,P,0.01,18,0,18,2,0,0,0,0,0,1,14.1,11,11,12.2,68,15,1,0,5,5,5,0,19,1,0,2,6.91,6.91,7.66,7.66,7.21,1.4
17,16,배민서,hanhwa,P,-0.03,1,0,1,0,0,0,0,0,0,0,1.2,3,3,3.0,11,4,1,0,0,3,0,0,1,0,0,0,16.2,16.2,16.2,15.79,8.29,4.2
18,17,이충호,hanhwa,P,-0.07,3,0,3,0,0,0,0,0,0,0,2.1,1,1,3.05,13,4,1,0,0,3,0,0,3,0,0,0,3.86,3.86,11.76,11.2,4.99,3.0
19,18,한승주,hanhwa,P,-0.08,5,0,5,3,0,0,0,1,0,0,6.1,7,8,8.0,32,10,1,1,1,4,1,0,4,0,0,0,9.95,11.37,11.37,11.16,6.96,2.21
20,19,장지수,hanhwa,P,-0.12,9,0,9,3,0,0,0,0,0,0,9.2,15,16,12.75,53,15,4,1,0,9,1,2,7,1,0,1,13.97,14.9,11.87,11.54,4.97,2.48
21,20,문동주,hanhwa,P,-0.25,6,6,0,0,0,0,1,2,0,0,26.2,26,29,28.3,140,46,7,2,6,13,2,0,21,2,0,1,8.78,9.79,9.55,9.48,6.67,2.21
24,21,박상원,hanhwa,P,-0.26,14,0,14,4,0,0,0,1,1,1,11.2,12,13,14.2,57,17,7,0,1,6,1,0,9,1,0,6,9.26,10.03,10.95,10.84,5.17,1.97
25,22,이태양,hanhwa,P,-0.27,10,1,9,3,0,0,0,2,0,0,9.1,12,13,14.2,48,17,3,0,4,2,0,0,2,1,0,0,11.57,12.54,13.69,14.02,9.44,2.04
